,epoch,train_loss,train_accuracy,train_f1,valid_loss,valid_accuracy,valid_f1
231,232,0.3000016537717151,0.9040813085596315,0.9037448231823769,0.609496932476759,0.898,0.8954065934065935
232,233,0.3013853187942263,0.9006669842782278,0.9002837329319988,0.6346801072359085,0.874,0.8726399156399157
233,234,0.2924747599033535,0.9024932507543274,0.9018627798312996,0.6237220279872417,0.874,0.8706204906204905
234,235,0.32715896070759914,0.8962204224233762,0.8954310878794073,0.6095626726746559,0.874,0.8705497835497834
235,236,0.3061400007853653,0.901143401619819,0.9010674975600353,0.6780642755329609,0.866,0.8611450216450217
236,237,0.3096820982882214,0.899237732253454,0.898805823749611,0.6138188131153584,0.868,0.8661825951825952
237,238,0.32131185598179773,0.8991583293631888,0.8989023161953397,0.6272977292537689,0.878,0.8738683538683537
238,239,0.31728407430467265,0.9025726536445927,0.9018931913116038,0.597102265805006,0.884,0.8808924963924964
239,240,0.314236122150409,0.8993965380339844,0.8992172549699322,0.6166601218283176,0.878,0.8743203463203463
240,241,0.2992094454123889,0.9033666825472447,0.9020812068765309,0.630585815757513,0.872,0.8685018315018315
241,242,0.30716520451425294,0.9024138478640622,0.9017540355963043,0.5952466353774071,0.892,0.8907195027195027
242,243,0.31712726533866775,0.8967762426552327,0.8961188689101257,0.601956732571125,0.882,0.8790882450882451
243,244,0.3170011838151114,0.8966174368747022,0.8960756624223076,0.6034010797739029,0.872,0.8677041847041846
244,245,0.3100792037200202,0.901540416071145,0.9005535569582689,0.594962403178215,0.888,0.8849311244311244
245,246,0.3030577003955841,0.9036048912180403,0.9029272803270528,0.6248931773006916,0.872,0.8671858141858142
246,247,0.31335451438796097,0.8984437033508019,0.8980928950249321,0.5973777435719967,0.886,0.8815321345321345
247,248,0.2935455501987244,0.9055105605844053,0.9050959040464772,0.6252446845173836,0.876,0.8712330447330447
248,249,0.31070467080864206,0.9002699698269017,0.9002875558480093,0.5889905691146851,0.888,0.8866245421245422
249,250,0.30233337828501833,0.9020168334127362,0.9015852310815395,0.6128383353352547,0.872,0.8686443001443003
250,251,0.2987769168948159,0.9067810068286486,0.9062590351697574,0.5880389735102654,0.874,0.8715732045732046
251,252,0.30497415997277055,0.9035254883277751,0.9031566895392978,0.6115543432533741,0.878,0.8744773004773004
252,253,0.30591819253821056,0.901540416071145,0.9008484204606476,0.609947919845581,0.88,0.8771563991563991
253,254,0.2984508207152943,0.9036842941083055,0.9021180088466761,0.5804603174328804,0.888,0.885490675990676
254,255,0.2952530142770806,0.9070986183897094,0.9059306825291845,0.5484116263687611,0.886,0.8840027195027195
